date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:59	20/20	---MCZ	200	added ('OK')	text/plain	date:Mon,%2024%20Nov%202025%2013:06:31%20GMT	https://www.lanlink.com.br/robots.txt		(from )
13:07:00	92285/92285	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2016:06:03%20GMT	https://www.lanlink.com.br/	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/index.html	(from )
13:07:01	266421/266421	---MCZ	200	added ('OK')	text/css	etag:W/%22cc107a551fea97e014b1cc9fbee724bd%22	https://cdn.prod.website-files.com/618d42f5e921288000cc555a/css/lanlink.webflow.shared.cc107a551.min.css	C:/Users/danie/Documents/Lanlink/cdn.prod.website-files.com/618d42f5e921288000cc555a/css/lanlink.webflow.shared.cc107a551.min.css	(from https://www.lanlink.com.br/)
13:07:01	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/danie/Documents/Lanlink/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.lanlink.com.br/)
13:07:01	2539/2539	---M--	200	added ('OK')	image/png	etag:%22207da96027afcd032f3ce4b05f9c6899%22	https://cdn.prod.website-files.com/618d42f5e921288000cc555a/61b7772ce0d0840a3a306cdd_icon-lanlink-32.png	C:/Users/danie/Documents/Lanlink/cdn.prod.website-files.com/618d42f5e921288000cc555a/61b7772ce0d0840a3a306cdd_icon-lanlink-32.png	(from https://www.lanlink.com.br/)
13:07:01	32214/32214	---M--	200	added ('OK')	image/png	etag:%2271cd955f3382f177a03f14f21d0f6b91%22	https://cdn.prod.website-files.com/618d42f5e921288000cc555a/61b777280da47c684de2cf03_icon-lanlink-256.png	C:/Users/danie/Documents/Lanlink/cdn.prod.website-files.com/618d42f5e921288000cc555a/61b777280da47c684de2cf03_icon-lanlink-256.png	(from https://www.lanlink.com.br/)
13:07:02	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Mon,%2024%20Nov%202025%2016:07:01%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/danie/Documents/Lanlink/www.google.com/recaptcha/api.js	(from https://www.lanlink.com.br/)
13:07:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2024%20Nov%202025%2016:07:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/danie/Documents/Lanlink/www.googletagmanager.com/gtm.55445.delayed	(from https://www.lanlink.com.br/)
13:07:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Nov%202025%2016:07:02%20GMT	http://tag.goadopt.io/injector.js?website_code=46417d72-6730-4e75-b7cc-63c71c9ae083	C:/Users/danie/Documents/Lanlink/tag.goadopt.io/injector.61c3b.delayed	(from https://www.lanlink.com.br/)
13:07:03	114/114	---M--	302	error ('Found')	text/plain	date:Mon,%2024%20Nov%202025%2016:07:02%20GMT	https://tag.goadopt.io/injector.js?website_code=46417d72-6730-4e75-b7cc-63c71c9ae083	C:/Users/danie/Documents/Lanlink/tag.goadopt.io/injector.71c3b.delayed	(from https://www.lanlink.com.br/)
13:07:03	0/-1	---M--	301	error ('')			http://tag.goadopt.io/injector.js?website_code=46417d72-6730-4e75-b7cc-63c71c9ae083	C:/Users/danie/Documents/Lanlink/tag.goadopt.io/injector.81c3b.delayed	(from https://www.lanlink.com.br/)
13:07:03	0/-1	---M--	302	error ('')			https://tag.goadopt.io/injector.js?website_code=46417d72-6730-4e75-b7cc-63c71c9ae083	C:/Users/danie/Documents/Lanlink/tag.goadopt.io/injector.91c3b.delayed	(from https://www.lanlink.com.br/)
13:07:04	50/50	---M--	302	error ('Found')	text/plain	date:Mon,%2024%20Nov%202025%2016:07:03%20GMT	https://unpkg.com/swiper@7/swiper-bundle.min.css	C:/Users/danie/Documents/Lanlink/unpkg.com/swiper@7/swiper-bundle.min.a.delayed	(from https://www.lanlink.com.br/)
13:07:04	15563/15563	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Nov%202025%2016:20:57%20GMT	https://unpkg.com/swiper@7.4.1/swiper-bundle.min.css	C:/Users/danie/Documents/Lanlink/unpkg.com/swiper@7.4.1/swiper-bundle.min.css	(from https://www.lanlink.com.br/)
13:07:05	18482/18482	---M-Z	200	added ('OK')	application/javascript	etag:W/%224832-1CEsFvRFgwITANQRLYpTEkDpgqE%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	C:/Users/danie/Documents/Lanlink/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	(from https://www.lanlink.com.br/)
13:07:05	6328/6328	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218b8-du6Dzp87eh0ksK+UK1Ks8kS5ZkI%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsslider@1/cmsslider.js	C:/Users/danie/Documents/Lanlink/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsslider@1/cmsslider.js	(from https://www.lanlink.com.br/)
13:07:05	38528/38528	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Oct%202025%2009:14:46%20GMT	https://www.lanlink.com.br/quem-somos	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/quem-somos.html	(from https://www.lanlink.com.br/)
13:07:06	40249/40249	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Nov%202025%2021:14:02%20GMT	https://www.lanlink.com.br/compliance	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/compliance.html	(from https://www.lanlink.com.br/)
13:07:07	28900/28900	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Nov%202025%2010:01:10%20GMT	https://www.lanlink.com.br/parceiro-lanlink	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/parceiro-lanlink.html	(from https://www.lanlink.com.br/)
13:07:07	32208/32208	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Nov%202025%2023:51:19%20GMT	https://www.lanlink.com.br/conformidade-e-privacidade-lgpd	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/conformidade-e-privacidade-lgpd.html	(from https://www.lanlink.com.br/)
13:07:07	120643/120643	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Nov%202025%2009:10:00%20GMT	https://www.lanlink.com.br/lanlink-na-midia	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/lanlink-na-midia.html	(from https://www.lanlink.com.br/)
13:07:08	58469/58469	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2019:24:43%20GMT	https://www.lanlink.com.br/solucoes/central-de-servicos	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/solucoes/central-de-servicos.html	(from https://www.lanlink.com.br/)
13:07:08	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Nov%202025%2016:07:07%20GMT	https://www.lanlink.com.br/solucoes/dados-ia	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/solucoes/dados-ia.14.delayed	(from https://www.lanlink.com.br/)
13:07:09	69315/69315	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Nov%202025%2004:29:36%20GMT	https://www.lanlink.com.br/solucoes/infraestrutura	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/solucoes/infraestrutura.html	(from https://www.lanlink.com.br/)
13:07:09	62045/62045	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2017:16:13%20GMT	https://www.lanlink.com.br/solucoes/produtividade	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/solucoes/produtividade.html	(from https://www.lanlink.com.br/)
13:07:09	36669/36669	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2008:51:32%20GMT	https://www.lanlink.com.br/verticais/privado/agronegocio	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/verticais/privado/agronegocio.html	(from https://www.lanlink.com.br/)
13:07:10	36250/36250	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Nov%202025%2008:01:03%20GMT	https://www.lanlink.com.br/verticais/privado/educacao	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/verticais/privado/educacao.html	(from https://www.lanlink.com.br/)
13:07:10	38672/38672	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Nov%202025%2010:39:11%20GMT	https://www.lanlink.com.br/verticais/privado/energia	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/verticais/privado/energia.html	(from https://www.lanlink.com.br/)
13:07:10	39158/39158	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202025%2002:10:17%20GMT	https://www.lanlink.com.br/verticais/privado/industria	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/verticais/privado/industria.html	(from https://www.lanlink.com.br/)
13:07:11	35583/35583	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2002:52:36%20GMT	https://www.lanlink.com.br/verticais/privado/financeiro	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/verticais/privado/financeiro.html	(from https://www.lanlink.com.br/)
13:07:11	34584/34584	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Nov%202025%2010:39:17%20GMT	https://www.lanlink.com.br/verticais/privado/varejo	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/verticais/privado/varejo.html	(from https://www.lanlink.com.br/)
13:07:11	45564/45564	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Nov%202025%2012:23:25%20GMT	https://www.lanlink.com.br/verticais/publico/bancos-publicos	C:/Users/danie/Documents/Lanlink/www.lanlink.com.br/verticais/publico/bancos-publicos.html	(from https://www.lanlink.com.br/)
